Collar ID,Acq. Time [UTC], Acq. Time [LMT],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,3D Error,Mortality Status,Activity,Temp[°C],Main[V],Backup[V]
35077,2022-03-02 14:00:11,2022-03-02 14:00:11,2022-03-03 03:00:34,Iridium,39.00818,-123.07580,400,1.2,3D Validated,,Nothing Detected,,11,3.28,3.6
35074,2022-03-02 13:00:23,2022-03-02 13:00:23,2022-03-03 05:01:32,Iridium,39.04731,-123.11241,376,1.4,3D Validated,,Nothing Detected,,19,3.36,3.68
35077,2022-03-02 13:00:18,2022-03-02 13:00:18,2022-03-03 03:00:34,Iridium,39.01042,-123.07716,387,1.2,3D Validated,,Nothing Detected,,13,3.36,3.6
35078,2022-03-02 13:00:18,2022-03-02 13:00:18,2022-03-03 05:00:42,Iridium,38.99237,-123.10578,161,1.2,3D Validated,,Nothing Detected,,12,3.2,3.6
35076,2022-03-02 13:00:17,2022-03-02 13:00:17,2022-03-03 11:01:17,Iridium,39.01948,-123.13551,68,1.2,3D Validated,,Nothing Detected,,11,3.36,3.68
35078,2022-03-02 12:01:08,2022-03-02 12:01:08,2022-03-03 05:00:42,Iridium,39.00252,-123.10558,232,1.4,3D Validated,,Nothing Detected,,12,3.2,3.6
35074,2022-03-02 12:00:27,2022-03-02 12:00:27,2022-03-03 05:01:32,Iridium,39.04691,-123.11162,412,1.4,3D Validated,,Nothing Detected,,16,3.36,3.68
35077,2022-03-02 12:00:12,2022-03-02 12:00:12,2022-03-03 03:00:34,Iridium,39.01034,-123.07712,481,1.4,3D Validated,,Nothing Detected,,12,3.28,3.6
35076,2022-03-02 12:00:12,2022-03-02 12:00:12,2022-03-03 11:01:17,Iridium,39.01673,-123.13535,172,1.2,3D Validated,,Nothing Detected,,12,3.36,3.68
35074,2022-03-02 11:00:23,2022-03-02 11:00:23,2022-03-03 05:01:45,Iridium,39.04736,-123.11149,429,1.4,3D Validated,,Nothing Detected,,16,3.36,3.68
